docname,topic,proportion
input_SAR.txt:1090,000,1.0
input_SAR.txt:1125,004,1.0
input_SAR.txt:1160,000,1.0
input_SAR.txt:1195,000,1.0
input_SAR.txt:1230,000,1.0
input_SAR.txt:1265,005,1.0
input_SAR.txt:1300,001,1.0
input_SAR.txt:1335,000,1.0
input_SAR.txt:1370,005,1.0
input_SAR.txt:1405,000,1.0
input_SAR.txt:1440,000,1.0
input_SAR.txt:1475,001,1.0
input_SAR.txt:1510,000,1.0
input_SAR.txt:1545,001,1.0
input_SAR.txt:1580,000,1.0
input_SAR.txt:1615,009,1.0
input_SAR.txt:1650,000,1.0
input_SAR.txt:25,004,1.0
input_SAR.txt:60,008,1.0
input_SAR.txt:95,002,1.0
input_SAR.txt:130,002,1.0
input_SAR.txt:165,000,1.0
input_SAR.txt:200,001,1.0
input_SAR.txt:235,004,1.0
input_SAR.txt:270,002,1.0
input_SAR.txt:305,003,1.0
input_SAR.txt:340,000,1.0
input_SAR.txt:375,009,1.0
input_SAR.txt:410,001,1.0
input_SAR.txt:445,000,1.0
input_SAR.txt:480,011,1.0
input_SAR.txt:515,000,1.0
input_SAR.txt:550,001,1.0
input_SAR.txt:585,000,1.0
input_SAR.txt:620,002,1.0
input_SAR.txt:655,002,1.0
input_SAR.txt:690,001,1.0
input_SAR.txt:725,000,1.0
input_SAR.txt:760,001,1.0
input_SAR.txt:795,009,1.0
input_SAR.txt:830,001,1.0
input_SAR.txt:860,004,1.0
input_SAR.txt:895,011,1.0
input_SAR.txt:930,005,1.0
input_SAR.txt:965,000,1.0
input_SAR.txt:1000,011,1.0
input_SAR.txt:1035,002,1.0
input_SAR.txt:1070,002,1.0
input_SAR.txt:1105,002,1.0
input_SAR.txt:1140,000,1.0
input_SAR.txt:1175,000,1.0
input_SAR.txt:1210,002,1.0
input_SAR.txt:1245,000,1.0
input_SAR.txt:1280,000,1.0
input_SAR.txt:1315,004,1.0
input_SAR.txt:1350,005,1.0
input_SAR.txt:1385,000,1.0
input_SAR.txt:1420,000,1.0
input_SAR.txt:1455,005,1.0
input_SAR.txt:1490,000,1.0
input_SAR.txt:1525,000,1.0
input_SAR.txt:1560,001,1.0
input_SAR.txt:1595,001,1.0
input_SAR.txt:1630,003,1.0
input_SAR.txt:1665,000,1.0
input_SAR.txt:14,001,1.0
input_SAR.txt:49,001,1.0
input_SAR.txt:84,000,1.0
input_SAR.txt:119,000,1.0
input_SAR.txt:154,004,1.0
input_SAR.txt:189,000,1.0
input_SAR.txt:224,008,1.0
input_SAR.txt:259,003,1.0
input_SAR.txt:294,011,1.0
input_SAR.txt:329,000,1.0
input_SAR.txt:364,011,1.0
input_SAR.txt:399,008,1.0
input_SAR.txt:434,001,1.0
input_SAR.txt:469,001,1.0
input_SAR.txt:504,000,1.0
input_SAR.txt:539,000,0.784423
input_SAR.txt:539,001,0.215577
input_SAR.txt:574,001,1.0
input_SAR.txt:609,001,1.0
input_SAR.txt:644,000,1.0
input_SAR.txt:679,009,1.0
input_SAR.txt:714,000,1.0
input_SAR.txt:749,000,1.0
input_SAR.txt:784,000,1.0
input_SAR.txt:819,000,1.0
input_SAR.txt:854,011,1.0
input_SAR.txt:884,002,1.0
input_SAR.txt:919,005,1.0
input_SAR.txt:954,004,1.0
input_SAR.txt:989,000,1.0
input_SAR.txt:1024,000,1.0
input_SAR.txt:1059,000,1.0
input_SAR.txt:1094,007,1.0
input_SAR.txt:1129,003,1.0
input_SAR.txt:1164,000,1.0
input_SAR.txt:1199,004,1.0
input_SAR.txt:1234,001,1.0
input_SAR.txt:1269,002,1.0
input_SAR.txt:1304,000,1.0
input_SAR.txt:1339,000,1.0
input_SAR.txt:1374,005,1.0
input_SAR.txt:1409,001,1.0
input_SAR.txt:1444,005,1.0
input_SAR.txt:1479,005,1.0
input_SAR.txt:1514,003,1.0
input_SAR.txt:1549,001,1.0
input_SAR.txt:1584,000,1.0
input_SAR.txt:1619,000,1.0
input_SAR.txt:1654,010,1.0
input_SAR.txt:21,001,1.0
input_SAR.txt:56,000,1.0
input_SAR.txt:91,001,1.0
input_SAR.txt:126,002,1.0
input_SAR.txt:161,002,1.0
input_SAR.txt:196,005,1.0
input_SAR.txt:231,004,1.0
input_SAR.txt:266,000,1.0
input_SAR.txt:301,010,1.0
input_SAR.txt:336,012,1.0
input_SAR.txt:371,001,1.0
input_SAR.txt:406,003,1.0
input_SAR.txt:441,004,1.0
input_SAR.txt:476,012,1.0
input_SAR.txt:511,004,1.0
input_SAR.txt:546,002,1.0
input_SAR.txt:581,000,1.0
input_SAR.txt:616,003,1.0
input_SAR.txt:651,001,1.0
input_SAR.txt:686,000,1.0
input_SAR.txt:721,009,1.0
input_SAR.txt:756,001,1.0
input_SAR.txt:791,011,1.0
input_SAR.txt:826,001,1.0
input_SAR.txt:856,001,1.0
input_SAR.txt:891,002,1.0
input_SAR.txt:926,000,1.0
input_SAR.txt:961,002,1.0
input_SAR.txt:996,001,1.0
input_SAR.txt:1031,000,1.0
input_SAR.txt:1066,005,1.0
input_SAR.txt:1101,004,1.0
input_SAR.txt:1136,003,1.0
input_SAR.txt:1171,000,1.0
input_SAR.txt:1206,002,1.0
input_SAR.txt:1241,001,1.0
input_SAR.txt:1276,002,1.0
input_SAR.txt:1311,000,1.0
input_SAR.txt:1346,000,1.0
input_SAR.txt:1381,004,1.0
input_SAR.txt:1416,001,1.0
input_SAR.txt:1451,000,1.0
input_SAR.txt:1486,000,1.0
input_SAR.txt:1521,006,1.0
input_SAR.txt:1556,001,1.0
input_SAR.txt:1591,001,1.0
